空调温度调节不了,空调系统中硬件损坏
副翼校装不准确,定中凸轮与滚轮磨损
起落架渗漏,筒内封严磨损
EGT数值较高,APU引气压力过低
GPSI不工作,计算机失效
TCAS故障,天线故障
液压油量在短时间内大量流失,部件上的封圈老化
飞机偏出或冲出跑道,没有严格固定螺钉力矩
飞机机身晃动,缺失机腹封条
N2转速上不去,放气活门没有打开
飞行中上下飘摆,飞机襟翼间隙超标的问题
电子设备舱故障灯亮起,鼓风扇故障
作动器工作不停,防滞刹车双通道失效引起
方向舵PCU漏油率较高,升降舵舱内的液压软管相互磨损
油液渗漏,安装软管时壁管扭曲
飞机操纵力感觉较重,与机组有关
液压油量在短时间内大量流失,意外碰撞
襟翼卡阻,传动蜗杆生锈
飞机偏离航道,雷雨天气
发动机启动失败,放气活门没有关上
螺旋桨发生尖锐刺耳的声音。,调速器分油活门被卡在下位。
通电后FD不能接通,FMGC数据对比没有通过
飞机无法减速,注油盒内部被磨损
飞机出现烟雾,乘客吸烟
方向舵PCU漏油率较高,主起落架收放作动筒供油管破损
通电后FD接通不了,没有更新导航数据库
跳开关跳出现象,防滞刹车双通道失效引起
起落架渗漏,软管断丝扎伤管壁
飞机位置有漂移,计算机失效
FMGC不能交输数据,FMGC工作故障
飞机上升不了高度,蜗杆腐蚀
飞机无法减速,后缘襟翼传动蜗杆引起卡阻
螺旋桨发生尖锐刺耳的声音。,调速器弹簧被压缩过紧。
FMGC不能正常运输数据,没有通过FMGC自检
部件渗漏,PCU上的一个堵头封圈破损
副翼校装不准确,各个组件之间有误差
右发动机PRV(压力调节活门)出现琥珀色的关闭信息,风扇空气活门9HA损坏
系统液压油渗漏,壳体裂纹
舱门出现噪音,机腹封条缺失
FMGC不能交输数据,FMGC数据对比失败
液压油量在短时间内大量流失,封圈扭曲
TCAS故障,有部分零件损坏
APU漏油超出正常值,APU失效
作动器工作不停,速度刹车手柄作动器可靠性不好
系统失效,飞机液压泵处的液压管与弯管有磨损
液压油量在短时间内大量流失,结头封圈失效
烟雾警告灯亮起,有乘客吸烟
飞机偏出或冲出跑道,传动蜗杆摩擦力过大
气象雷达数据错误,没有正确校准导航相关数据
PFR信息出现,区域传感器损坏
系统失效,自身封严失效 
跳开关跳开,预位电门故障
飞机操纵力感觉较重,应属控制系统有问题
操纵力感觉过大,定中机构润滑不够
飞机速度减小,收放系统动作筒裂开
系统失效,PCU上的一个堵头封圈破损
空调温度过高,空调组件损坏
包皮震动明显，飞机呈“摇头”状态，功率下降，速度减小。,点火系统故障
发动机漏油,没有打开放气活门
飞机速度减小,发动机过贫油或过富油
空调温度错误,发动机引气关闭
起落架渗漏,意外碰撞
发动机间歇性停车,汽缸头温度过低，加油门动作粗
